"fighter0_first_name","fighter0_last_name","fighter1_first_name","fighter1_last_name","event","date","location","gender","weight","title","wasDraw","method","rounds","fight_time","fighter0_nickname","fighter0_wins","fighter0_losses","fighter0_draws","fighter0_height","fighter0_weight","fighter0_reach","fighter0_stance","fighter0_birth_date","fighter1_nickname","fighter1_wins","fighter1_losses","fighter1_draws","fighter1_height","fighter1_weight","fighter1_reach","fighter1_stance","fighter1_birth_date"
"Henry","Cejudo","Song","Yadong","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Bantamweight",0,0,"Decision - Unanimous",3,"5:00","Triple C",16,5,0,"5' 4""","135 lbs.","64""","Orthodox","Feb 09, 1987","Kung Fu Kid",22,7,1,"5' 8""","135 lbs.","67""","Orthodox","Dec 02, 1997"
"Brendan","Allen","Anthony","Hernandez","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Middleweight",0,0,"Decision - Unanimous",3,"5:00","All In",24,7,0,"6' 2""","185 lbs.","75""","Orthodox","Dec 28, 1995","Fluffy",14,2,0,"6' 0""","185 lbs.","75""","Orthodox","Oct 18, 1993"
"Rob","Font","Jean","Matsumoto","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Catch Weight",0,0,"Decision - Split",3,"5:00","",22,8,0,"5' 8""","135 lbs.","71""","Orthodox","Jun 25, 1987","",16,1,0,"5' 6""","135 lbs.","68""","Orthodox","Sep 09, 1999"
"Jean","Silva","Melsik","Baghdasaryan","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Featherweight",0,0,"KO/TKO",1,"4:15","Lord",15,2,0,"5' 7""","145 lbs.","69""","Orthodox","Dec 27, 1996","The Gun",8,3,0,"5' 9""","145 lbs.","70""","Southpaw","Jan 28, 1992"
"Alonzo","Menifield","Julius","Walker","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Light Heavyweight",0,0,"Decision - Split",3,"5:00","Atomic",16,5,1,"6' 0""","205 lbs.","76""","Orthodox","Oct 18, 1987","Juice Box",6,1,0,"6' 4""","205 lbs.","78""","Orthodox","Jul 16, 1999"
"Ion","Cutelaba","Ibo","Aslan","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Light Heavyweight",0,0,"Submission",1,"2:51","The Hulk",19,10,1,"6' 1""","205 lbs.","75""","Southpaw","Dec 14, 1993","The Last Ottoman",14,2,0,"6' 3""","205 lbs.","77""","Orthodox","Apr 23, 1996"
"Andre","Fili","Melquizael","Costa","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Featherweight",0,0,"Submission",1,"4:30","Touchy",24,12,0,"5' 11""","145 lbs.","74""","Orthodox","Jun 25, 1990","Melk Cauthy",22,7,0,"5' 10""","145 lbs.","71""","Southpaw","Sep 14, 1996"
"Mansur","Abdul-Malik","Nick","Klein","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Middleweight",0,0,"KO/TKO",2,"3:24","",8,0,0,"6' 2""","185 lbs.","79""","Orthodox","Oct 07, 1997","Blue Collar",6,2,0,"6' 1""","185 lbs.","77""","Orthodox","Sep 08, 1995"
"Ricky","Simon","Javid","Basharat","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Bantamweight",0,0,"KO/TKO",1,"3:58","",21,6,0,"5' 6""","135 lbs.","69""","Orthodox","Aug 31, 1992","The Snow Leopard",14,2,0,"5' 9""","135 lbs.","69""","Orthodox","Sep 07, 1995"
"Nikolay","Veretennikov","Austin","Vanderford","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Catch Weight",0,0,"KO/TKO",2,"4:13","",12,6,0,"6' 1""","170 lbs.","74""","Orthodox","Dec 22, 1989","",13,2,0,"5' 11""","170 lbs.","74""","Orthodox","Mar 21, 1990"
"Nursulton","Ruziboev","Eric","McConico","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Middleweight",0,0,"KO/TKO",2,"0:33","Black",35,9,2,"6' 5""","185 lbs.","76""","Orthodox","Nov 19, 1993","",9,3,1,"6' 0""","185 lbs.","77""","Southpaw","May 09, 1990"
"Modestas","Bukauskas","Rafael","Cerqueira","UFC Fight Night: Cejudo vs. Song","February 22, 2025","Seattle, Washington, USA","Male","Light Heavyweight",0,0,"KO/TKO",1,"2:12","The Baltic Gladiator",17,6,0,"6' 3""","205 lbs.","78""","Switch","Feb 10, 1994","The Lion",11,2,0,"6' 3""","205 lbs.","76""","Southpaw","Mar 15, 1991"
"Jared","Cannonier","Gregory","Rodrigues","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Middleweight",0,0,"KO/TKO",4,"0:21","The Killa Gorilla",18,8,0,"5' 11""","185 lbs.","77""","Switch","Mar 16, 1984","Robocop",16,6,0,"6' 3""","185 lbs.","75""","Orthodox","Feb 17, 1992"
"Calvin","Kattar","Youssef","Zalal","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Featherweight",0,0,"Decision - Unanimous",3,"5:00","",23,9,0,"5' 11""","145 lbs.","72""","Orthodox","Mar 26, 1988","The Moroccan Devil",17,5,1,"5' 10""","145 lbs.","72""","Switch","Sep 04, 1996"
"Edmen","Shahbazyan","Dylan","Budka","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Middleweight",0,0,"KO/TKO",1,"1:35","The Golden Boy",14,5,0,"6' 2""","185 lbs.","74""","Orthodox","Nov 20, 1997","The Mindless Hulk",7,5,0,"6' 0""","185 lbs.","75""","Switch","Jan 14, 2000"
"Ismael","Bonfim","Nazim","Sadykhov","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Lightweight",0,0,"TKO - Doctor's Stoppage",1,"5:00","Marreta",20,5,0,"5' 8""","155 lbs.","71""","Orthodox","Dec 28, 1995","Black Wolf",10,1,1,"5' 10""","155 lbs.","69""","Southpaw","May 16, 1994"
"Rodolfo","Vieira","Andre","Petroski","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Middleweight",0,0,"Decision - Unanimous",3,"5:00","",10,3,0,"6' 0""","185 lbs.","73""","Orthodox","Sep 25, 1989","",13,4,0,"6' 0""","185 lbs.","73""","Switch","Jun 12, 1991"
"Connor","Matthews","Jose","Delgado","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Featherweight",0,0,"KO/TKO",1,"2:58","The Controller",7,3,0,"5' 8""","145 lbs.","71""","Switch","May 31, 1992","",9,1,0,"5' 11""","145 lbs.","73""","Switch","Apr 21, 1998"
"Angela","Hill","Ketlen","Souza","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Female","Strawweight",0,0,"Decision - Split",3,"5:00","Overkill",18,14,0,"5' 3""","115 lbs.","64""","Orthodox","Jan 12, 1985","Esquentadinha",15,5,0,"5' 3""","115 lbs.","63""","Orthodox","Aug 18, 1994"
"Rafael","Estevam","Jesus","Aguilar","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Flyweight",0,0,"Decision - Unanimous",3,"5:00","Macapa",13,0,0,"5' 8""","125 lbs.","69""","Orthodox","Aug 10, 1996","",11,3,0,"5' 4""","125 lbs.","62""","Orthodox","Mar 13, 1996"
"Gabriel","Bonfim","Khaos","Williams","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Welterweight",0,0,"Submission",2,"4:58","Marretinha",17,1,0,"6' 1""","170 lbs.","72""","Orthodox","Aug 20, 1997","The Oxfighter",15,4,0,"6' 0""","170 lbs.","77""","Orthodox","Mar 30, 1994"
"Vince","Morales","Elijah","Smith","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Bantamweight",0,0,"Decision - Unanimous",3,"5:00","Vandetta",16,9,0,"5' 7""","135 lbs.","70""","Orthodox","Nov 12, 1990","Swift",8,1,0,"5' 9""","135 lbs.","71""","Orthodox","Sep 05, 2002"
"Don'Tale","Mayes","Valter","Walker","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Male","Heavyweight",0,0,"Submission",1,"1:17","Lord Kong",11,8,0,"6' 6""","260 lbs.","81""","Orthodox","Jan 16, 1992","The Clean Monster",13,1,0,"6' 6""","265 lbs.","78""","Orthodox","Dec 14, 1997"
"Julia","Avila","Jacqueline","Cavalcanti","UFC Fight Night: Cannonier vs. Rodrigues","February 15, 2025","Las Vegas, Nevada, USA","Female","Bantamweight",0,0,"Decision - Unanimous",3,"5:00","Raging Panda",9,4,0,"5' 7""","135 lbs.","68""","Orthodox","May 11, 1988","",9,1,0,"5' 8""","135 lbs.","70""","Orthodox","Aug 29, 1997"
"Dricus","Du Plessis","Sean","Strickland","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Middleweight",1,0,"Decision - Unanimous",5,"5:00","Stillknocks",23,2,0,"6' 1""","185 lbs.","76""","Switch","Jan 14, 1994","",29,7,0,"6' 1""","185 lbs.","76""","Orthodox","Feb 27, 1991"
"Zhang","Weili","Tatiana","Suarez","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Female","Strawweight",1,0,"Decision - Unanimous",5,"5:00","Magnum",26,3,0,"5' 4""","115 lbs.","63""","Switch","Aug 13, 1989","",11,1,0,"5' 5""","115 lbs.","66""","Southpaw","Dec 19, 1990"
"Justin","Tafa","Tallison","Teixeira","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Heavyweight",0,0,"KO/TKO",1,"0:35","Bad Man",7,5,0,"6' 0""","264 lbs.","74""","Southpaw","Dec 13, 1993","Xicao",8,0,0,"6' 7""","258 lbs.","83""","Orthodox","Dec 07, 1999"
"Jimmy","Crute","Rodolfo","Bellato","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Light Heavyweight",0,1,"Decision - Majority",3,"5:00","",12,4,2,"6' 2""","205 lbs.","74""","Orthodox","Mar 04, 1996","Trator",12,2,1,"6' 3""","205 lbs.","77""","Orthodox","Feb 05, 1996"
"Jake","Matthews","Francisco","Prado","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Welterweight",0,0,"Decision - Unanimous",3,"5:00","The Celtic Kid",21,7,0,"5' 11""","170 lbs.","73""","Orthodox","Aug 19, 1994","",12,3,0,"5' 10""","170 lbs.","69""","Orthodox","Jun 16, 2002"
"Jack","Jenkins","Gabriel","Santos","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Featherweight",0,0,"Submission",3,"2:06","Phar",13,4,0,"5' 7""","145 lbs.","68""","Switch","Nov 03, 1993","Mosquitinho",12,2,0,"5' 9""","145 lbs.","70""","Orthodox","Nov 28, 1996"
"Tom","Nolan","Viacheslav","Borshchev","UFC 312: Du Plessis vs. Strickland 2","February 08, 2025","Sydney, New South Wales, Australia","Male","Lightweight",0,0,"Decision - Unanimous",3,"5:00","Big Train",9,1,0,"6' 3""","155 lbs.","73""","Southpaw","Mar 08, 2000","Slava Claus",8,5,1,"5' 11""","155 lbs.","69""","Orthodox","Jan 08, 1992"
