"first_name","last_name","nickname","wins","losses","draws","height","weight","reach","stance","birth_date","last_fight_date","total_fights"
"Colby","Thicknesse","Slickness",7,1,0,"5' 7""","135 lbs.","69""","Orthodox","Jun 23, 1999","February 08, 2025",8
"Rongzhu","","",26,6,0,"5' 9""","155 lbs.","71""","Orthodox","Mar 07, 2000","February 08, 2025",32
"Jonathan","Micallef","The Captain",8,1,0,"6' 0""","170 lbs.","77""","Southpaw","Mar 05, 1999","February 08, 2025",9
"Quillan","Salkilld","",8,1,0,"6' 0""","155 lbs.","75""","Orthodox","Dec 28, 1999","February 08, 2025",9
"Bogdan","Grad","The Unleashed",15,2,0,"5' 8""","145 lbs.","70""","Orthodox","Sep 28, 1995","February 01, 2025",17
"Marco","Tulio","Matuto",13,1,0,"6' 0""","185 lbs.","74""","Orthodox","Jun 13, 1994","January 11, 2025",14
"Navajo","Stirling","",6,0,0,"6' 4""","205 lbs.","79""","Orthodox","Nov 07, 1997","December 14, 2024",6
"Baergeng","Jieleyisi","",18,6,0,"5' 9""","135 lbs.","70""","Orthodox","Nov 24, 1995","November 23, 2024",24
"Kiru","Sahota","",12,3,0,"5' 10""","125 lbs.","73""","Orthodox","May 28, 1995","November 23, 2024",15
"Shi","Ming","",17,5,0,"5' 2""","115 lbs.","60""","Orthodox","Nov 14, 1994","November 23, 2024",22
"Nyamjargal","Tumendemberel","Art Of Knockout",8,1,0,"5' 7""","125 lbs.","71""","Orthodox","Mar 22, 1998","November 23, 2024",9
"Lone'er","Kavanagh","",8,0,0,"5' 4""","125 lbs.","67""","Orthodox","Jun 09, 1999","November 23, 2024",8
"Maheshate","","",10,4,0,"6' 0""","155 lbs.","71""","Orthodox","Dec 01, 1999","November 23, 2024",14
"Mansur","Abdul-Malik","",8,0,0,"6' 2""","185 lbs.","79""","Orthodox","Oct 07, 1997","November 09, 2024",8
"Rongzhu","","",26,6,0,"5' 9""","155 lbs.","71""","Orthodox","Mar 07, 2000","September 07, 2024",32
"Yizha","","",25,5,0,"5' 7""","145 lbs.","71""","Orthodox","Jan 08, 1997","September 07, 2024",30
"Zygimantas","Ramaska","",9,3,0,"5' 11""","145 lbs.","71""","Orthodox","Dec 27, 1996","September 07, 2024",12
"Robert","Valentin","Robzilla",11,4,0,"6' 2""","185 lbs.","77""","Orthodox","Mar 31, 1995","August 24, 2024",15
"Wang","Cong","The Joker",7,1,0,"5' 6""","125 lbs.","66""","Southpaw","May 15, 1992","August 24, 2024",8
"Stewart","Nicoll","Kakamora",8,1,0,"5' 5""","125 lbs.","65""","Orthodox","Nov 04, 1994","August 17, 2024",9
"Stephanie","Luciano","Rondinha",6,1,1,"5' 6""","115 lbs.","65""","Orthodox","Dec 16, 1999","August 10, 2024",8
"Rei","Tsuruya","",10,0,0,"5' 6""","125 lbs.","68""","Orthodox","Jun 22, 2002","June 29, 2024",10
"Magomed","Gadzhiyasulov","",9,1,0,"6' 2""","205 lbs.","75""","Orthodox","Nov 04, 1993","June 22, 2024",10
"Xiao","Long","",27,9,0,"5' 8""","135 lbs.","70""","Orthodox","Apr 13, 1998","June 22, 2024",36
"Carli","Judice","Crispy",3,2,0,"5' 7""","125 lbs.","68""","Southpaw","Mar 02, 1999","June 15, 2024",5
"Mitch","Raposo","",9,2,0,"5' 5""","125 lbs.","64""","Switch","Oct 16, 1998","June 01, 2024",11
"Oumar","Sy","",11,0,0,"6' 4""","205 lbs.","83""","Orthodox","Nov 21, 1995","May 18, 2024",11
"Alatengheili","","The Mongolian Knight",17,9,2,"5' 5""","135 lbs.","66""","Orthodox","Dec 14, 1991","May 18, 2024",28
"Mauricio","Ruffy","",11,1,0,"5' 11""","155 lbs.","75""","Orthodox","Jun 17, 1996","May 04, 2024",12
"Pedro","Falcao","Pedrinho",16,4,0,"5' 6""","135 lbs.","66""","Orthodox","Jul 30, 1992","April 06, 2024",20
"Angel","Pacheco","",7,3,0,"5' 8""","135 lbs.","70""","Orthodox","Jan 13, 1992","March 30, 2024",10
"Igor","Severino","",8,1,0,"5' 7""","125 lbs.","69""","Orthodox","Apr 21, 2003","March 23, 2024",9
"Abdul-Kareem","Al-Selwady","Pride Of Palestine",15,4,0,"5' 8""","155 lbs.","69""","Orthodox","Apr 10, 1995","March 02, 2024",19
"Ronaldo","Rodriguez","Lazy Boy",17,2,0,"5' 6""","125 lbs.","65""","Orthodox","May 07, 1999","February 24, 2024",19
"Zhang","Mingyang","Mountain Tiger",18,6,0,"6' 2""","205 lbs.","75""","Orthodox","Aug 16, 1998","February 17, 2024",24
"Robert","Bryczek","",17,6,0,"6' 0""","185 lbs.","75""","Orthodox","Jul 04, 1990","February 10, 2024",23
"Bolaji","Oki","The Zulu Warrior",9,2,0,"5' 10""","155 lbs.","73""","Orthodox","Nov 15, 1995","February 10, 2024",11
"Serhiy","Sidey","",11,2,0,"5' 11""","135 lbs.","72""","Switch","Jul 04, 1996","January 20, 2024",13
"Rayanne","dos Santos","",14,8,0,"5' 2""","115 lbs.","62""","Orthodox","Jun 08, 1995","December 09, 2023",22
"Payton","Talbott","",9,1,0,"5' 10""","135 lbs.","70""","Switch","Sep 09, 1998","November 18, 2023",10
"Mohammad","Yahya","The Uae Warrior",12,5,0,"5' 9""","155 lbs.","73""","Switch","May 23, 1994","October 21, 2023",17
"Shara","Magomedov","Bullet",15,1,0,"6' 2""","185 lbs.","73""","Orthodox","May 16, 1994","October 21, 2023",16
"Aoriqileng","","The Mongolian Murderer",25,12,0,"5' 7""","135 lbs.","69""","Orthodox","Jun 25, 1993","October 07, 2023",37
"Mizuki","","",15,6,0,"5' 3""","115 lbs.","65""","Orthodox","Aug 19, 1994","September 23, 2023",21
"Josefine","Knutsson","Thunder",8,1,0,"5' 3""","115 lbs.","60""","Orthodox","Jan 16, 1996","September 16, 2023",9
"Morgan","Charriere","The Last Pirate",20,10,1,"5' 8""","145 lbs.","69""","Orthodox","Oct 26, 1995","September 02, 2023",31
"Billy","Ray Goff","",9,3,0,"5' 10""","170 lbs.","72""","Switch","Jun 18, 1998","August 26, 2023",12
"Shauna","Bannon","Mama B",6,1,0,"5' 5""","115 lbs.","65""","Switch","Oct 23, 1993","July 22, 2023",7
"Maheshate","","",10,4,0,"6' 0""","155 lbs.","71""","Orthodox","Dec 01, 1999","May 20, 2023",14
"Braxton","Smith","The Beautiful Monster",5,2,0,"5' 11""","257 lbs.","72""","Orthodox","Jan 01, 1990","May 06, 2023",7
"Hailey","Cowan","All Hail",7,3,0,"5' 8""","135 lbs.","67""","Southpaw","Feb 12, 1992","April 29, 2023",10
"Jaqueline","Amorim","",9,1,0,"5' 3""","115 lbs.","68""","Orthodox","Jun 24, 1995","April 08, 2023",10
"Bo","Nickal","",7,0,0,"6' 1""","185 lbs.","76""","Southpaw","Jan 14, 1996","March 04, 2023",7
"Jeka","Saragih","",14,4,0,"5' 8""","145 lbs.","69""","Orthodox","Jan 01, 1995","February 04, 2023",18
"JeongYeong","Lee","Korean Tiger",11,2,0,"5' 10""","145 lbs.","73""","Orthodox","Nov 13, 1995","February 04, 2023",13
"Toshiomi","Kazama","",11,4,0,"5' 7""","135 lbs.","69""","Orthodox","May 15, 1997","February 04, 2023",15
"SeungGuk","Choi","",7,3,0,"5' 6""","125 lbs.","64""","Orthodox","Dec 26, 1996","February 04, 2023",10
"Gabriel","Bonfim","Marretinha",17,1,0,"6' 1""","170 lbs.","72""","Orthodox","Aug 20, 1997","January 21, 2023",18
"Ismael","Bonfim","Marreta",20,5,0,"5' 8""","155 lbs.","71""","Orthodox","Dec 28, 1995","January 21, 2023",25
"Raul","Rosas Jr.","El Nino Problema",10,1,0,"5' 9""","135 lbs.","67""","Switch","Oct 08, 2004","December 10, 2022",11
"Melissa","Martinez","Super Mely",8,1,0,"5' 2""","115 lbs.","66""","Southpaw","Aug 18, 1997","September 10, 2022",9
